-150.0000000000	2.8660000000	983.0000000000	0.0117100000	4.158*10**-6	8.636*10**-6	3.013*10**-6	0.7246000000		
-100.0000000000	2.0380000000	966.0000000000	0.0158200000	8.036*10**-6	1.189*10**-6	5.837*10**-6	0.7263000000		
-50.0000000000	1.5820000000	999.0000000000	0.0197900000	1.252*10**-5	1.474*10**-5	9.319*10**-6	0.7440000000		
-40.0000000000	1.5140000000	1002.0000000000	0.0205700000	1.356*10**-5	1.527*10**-5	1.008*10**-5	0.7436000000		
-30.0000000000	1.4510000000	1004.0000000000	0.0213400000	1.465*10**-5	1.579*10**-5	1.087*10**-5	0.7425000000		
-20.0000000000	1.3940000000	1005.0000000000	0.0221100000	1.578*10**-5	1.630*10**-5	1.169*10**-5	0.7408000000		
-10.0000000000	1.3410000000	1006.0000000000	0.0228800000	1.696*10**-5	1.680*10**-5	1.252*10**-5	0.7387000000		
0.0000000000	1.2920000000	1006.0000000000	0.0236400000	1.818*10**-5	1.729*10**-5	1.338*10**-5	0.7362000000		
5.0000000000	1.2690000000	1006.0000000000	0.0240100000	1.880*10**-5	1.754*10**-5	1.382*10**-5	0.7350000000		
10.0000000000	1.2460000000	1006.0000000000	0.0243900000	1.944*10**-5	1.778*10**-5	1.426*10**-5	0.7336000000		
15.0000000000	1.2250000000	1007.0000000000	0.0247600000	2.009*10**-5	1.802*10**-5	1.470*10**-5	0.7323000000		
20.0000000000	1.2040000000	1007.0000000000	0.0251400000	2.074*10**-5	1.825*10**-5	1.516*10**-5	0.7309000000		
25.0000000000	1.1840000000	1007.0000000000	0.0255100000	2.141*10**-5	1.849*10**-5	1.562*10**-5	0.7296000000		
30.0000000000	1.1640000000	1007.0000000000	0.0258800000	2.208*10**-5	1.872*10**-5	1.608*10**-5	0.7282000000		
35.0000000000	1.1450000000	1007.0000000000	0.0262500000	2.277*10**-5	1.895*10**-5	1.655*10**-5	0.7268000000		
40.0000000000	1.1270000000	1007.0000000000	0.0266200000	2.346*10**-5	1.918*10**-5	1.702*10**-5	0.7255000000		
45.0000000000	1.1090000000	1007.0000000000	0.0269900000	2.416*10**-5	1.941*10**-5	1.750*10**-5	0.7241000000		
50.0000000000	1.0920000000	1007.0000000000	0.0273500000	2.487*10**-5	1.963*10**-5	1.798*10**-5	0.7228000000		
60.0000000000	1.0590000000	1007.0000000000	0.0280800000	2.632*10**-5	2.008*10**-5	1.896*10**-5	0.7202000000		
70.0000000000	1.0280000000	1007.0000000000	0.0288100000	2.780*10**-5	2.052*10**-5	1.995*10**-5	0.7177000000		
80.0000000000	0.9994000000	1008.0000000000	0.0295300000	2.931*10**-5	2.096*10**-5	2.097*10**-5	0.7154000000		
90.0000000000	0.9718000000	1008.0000000000	0.0302400000	3.086*10**-5	2.139*10**-5	2.201*10**-5	0.7132000000		
100.0000000000	0.9458000000	1009.0000000000	0.0309500000	3.243*10**-5	2.181*10**-5	2.306*10**-5	0.7111000000		
120.0000000000	0.8977000000	1011.0000000000	0.0323500000	3.565*10**-5	2.264*10**-5	2.522*10**-5	0.7073000000		
140.0000000000	0.8542000000	1013.0000000000	0.0337400000	3.898*10**-5	2.345*10**-5	2.745*10**-5	0.7041000000		
160.0000000000	0.8148000000	1016.0000000000	0.0351100000	4.241*10**-5	2.420*10**-5	2.975*10**-5	0.7014000000		
180.0000000000	0.7788000000	1019.0000000000	0.0364600000	4.593*10**-5	2.504*10**-5	3.212*10**-5	0.6992000000		
200.0000000000	0.7459000000	1023.0000000000	0.0377900000	4.954*10**-5	2.577*10**-5	3.455*10**-5	0.6974000000		
250.0000000000	0.6746000000	1033.0000000000	0.0410400000	5.890*10**-5	2.760*10**-5	4.091*10**-5	0.6946000000		
300.0000000000	0.6158000000	1044.0000000000	0.0441800000	6.871*10**-5	2.934*10**-5	4.765*10**-5	0.6935000000		
350.0000000000	0.5664000000	1056.0000000000	0.0472100000	7.892*10**-5	3.101*10**-5	5.475*10**-5	0.6937000000		
400.0000000000	0.5243000000	1069.0000000000	0.0501500000	8.951*10**-5	3.261*10**-5	6.219*10**-5	0.6948000000		
450.0000000000	0.4880000000	1081.0000000000	0.0529800000	1.004*10**-4	3.415*10**-5	6.997*10**-5	0.6965000000		
500.0000000000	0.4565000000	1093.0000000000	0.0557200000	1.117*10**-4	3.563*10**-5	7.806*10**-5	0.6986000000		
600.0000000000	0.4042000000	1115.0000000000	0.0609300000	1.352*10**-4	3.846*10**-5	9.515*10**-5	0.7037000000		
700.0000000000	0.3627000000	1135.0000000000	0.0658100000	1.598*10**-4	4.111*10**-5	1.133*10**-4	0.7092000000		
800.0000000000	0.3289000000	1153.0000000000	0.0703700000	1.855*10**-4	4.362*10**-5	1.326*10**-4	0.7149000000		
900.0000000000	0.3008000000	1169.0000000000	0.0746500000	2.122*10**-4	4.600*10**-5	1.529*10**-4	0.7206000000		
1000.0000000000	0.2772000000	1184.0000000000	0.0786800000	2.398*10**-4	4.826*10**-5	1.741*10**-4	0.7260000000		
1500.0000000000	0.1990000000	1234.0000000000	0.0959900000	3.908*10**-4	5.817*10**-5	2.922*10**-4	0.7478000000		
2000.0000000000	0.1553000000	1264.0000000000	0.1111300000	5.664*10**-4	6.630*10**-5	4.270*10**-4	0.7539000000
